Date,Value,Quality,Size,Default,Real Yield,Yield Curve
2020-08-20,74.75,104.27999877929688,94.30999755859375,102.18499755859375,-0.97,0.52
2020-08-21,74.70999908447266,104.58999633789062,94.16999816894531,102.23500061035156,-1.0,0.48
2020-08-24,76.04000091552734,105.73999786376953,95.41000366210938,102.12000274658203,-1.02,0.51
2020-08-25,75.91000366210938,106.0999984741211,95.4800033569336,102.18499755859375,-1.01,0.54
2020-08-26,75.58999633789062,107.06999969482422,95.63999938964844,102.26000213623047,-1.03,0.53
2020-08-27,75.7699966430664,107.16000366210938,96.0999984741211,102.20999908447266,-0.99,0.58
2020-08-28,76.55999755859375,108.22000122070312,96.87999725341797,102.2300033569336,-1.03,0.6
2020-08-31,75.8499984741211,107.58000183105469,96.22000122070312,102.26599884033203,-1.08,0.58
2020-09-01,75.7300033569336,108.33999633789062,97.0,102.16000366210938,-1.08,0.55
2020-09-02,77.31999969482422,110.16000366210938,98.63999938964844,102.26000213623047,-1.07,0.52
2020-09-03,75.51000213623047,106.48999786376953,95.8499984741211,102.19300079345703,-1.02,0.5
2020-09-04,75.7300033569336,105.52999877929688,95.38999938964844,102.25,-0.98,0.58
2020-09-08,74.37000274658203,103.01000213623047,93.25,102.0199966430664,-0.99,0.55
2020-09-09,75.08000183105469,104.66000366210938,94.68000030517578,102.04000091552734,-1.0,0.57
2020-09-10,73.83000183105469,102.94000244140625,93.41000366210938,101.875,-1.01,0.54
2020-09-11,74.38999938964844,103.0199966430664,93.58000183105469,101.9800033569336,-0.98,0.54
2020-09-14,75.52999877929688,104.37000274658203,95.30999755859375,101.9800033569336,-0.97,0.54
2020-09-15,75.33000183105469,104.94000244140625,95.56999969482422,101.94999694824219,-0.99,0.54
2020-09-16,76.08000183105469,104.77999877929688,95.9800033569336,101.95999908447266,-0.99,0.55
2020-09-17,75.91000366210938,103.8499984741211,95.37999725341797,101.97000122070312,-0.97,0.56
2020-09-18,75.20999908447266,102.87999725341797,94.43000030517578,101.87999725341797,-0.97,0.56
2020-09-21,73.38999938964844,101.2300033569336,92.5199966430664,101.66000366210938,-0.94,0.54
2020-09-22,73.44999694824219,102.30999755859375,93.19000244140625,101.68599700927734,-0.94,0.55
2020-09-23,71.58999633789062,100.13999938964844,90.66999816894531,101.55500030517578,-0.92,0.54
2020-09-24,71.77999877929688,100.27999877929688,90.80000305175781,101.37799835205078,-0.91,0.53
2020-09-25,72.37999725341797,101.69000244140625,92.2300033569336,101.48500061035156,-0.92,0.54
2020-09-28,73.88999938964844,103.36000061035156,93.83000183105469,101.58000183105469,-0.94,0.53
2020-09-29,73.37000274658203,103.05999755859375,93.38999938964844,101.5999984741211,-0.98,0.55
2020-09-30,73.77999877929688,103.73999786376953,93.7699966430664,101.5770034790039,-0.94,0.56
2020-10-01,74.04000091552734,104.30999755859375,94.44999694824219,101.49700164794922,-0.95,0.54
2020-10-02,74.19000244140625,103.4800033569336,94.83000183105469,101.68000030517578,-0.94,0.57
2020-10-05,75.51000213623047,105.19000244140625,96.52999877929688,101.51499938964844,-0.9,0.64
2020-10-06,74.91000366210938,103.95999908447266,95.66000366210938,101.51000213623047,-0.9,0.62
2020-10-07,76.37999725341797,105.58999633789062,97.41999816894531,101.60800170898438,-0.9,0.65
2020-10-08,77.66999816894531,106.55999755859375,98.52999877929688,101.59300231933594,-0.94,0.65
2020-10-09,77.27999877929688,107.58999633789062,98.87999725341797,101.5999984741211,-0.94,0.63
2020-10-13,77.16999816894531,108.22000122070312,98.91999816894531,101.73500061035156,-0.96,0.58
2020-10-14,76.95999908447266,107.58000183105469,98.66999816894531,101.71499633789062,-0.96,0.59
2020-10-15,77.37999725341797,107.44000244140625,98.91999816894531,101.72000122070312,-0.95,0.6
2020-10-16,77.4800033569336,107.41999816894531,98.87000274658203,101.7300033569336,-0.95,0.62
2020-10-19,76.75,105.70999908447266,97.58999633789062,101.63500213623047,-0.93,0.62
2020-10-20,77.0,106.2300033569336,98.16000366210938,101.5999984741211,-0.91,0.67
2020-10-21,76.68000030517578,106.4000015258789,97.83000183105469,101.54499816894531,-0.91,0.69
2020-10-22,77.7699966430664,106.98999786376953,98.75,101.47000122070312,-0.89,0.71
2020-10-23,77.25,107.54000091552734,99.29000091552734,101.48999786376953,-0.9,0.67
2020-10-26,75.38999938964844,105.23999786376953,97.08999633789062,101.4800033569336,-0.91,0.65
2020-10-27,74.08000183105469,104.7699966430664,96.1500015258789,101.60299682617188,-0.92,0.63
2020-10-28,71.94000244140625,100.86000061035156,93.38999938964844,101.41600036621094,-0.91,0.63
2020-10-29,72.7699966430664,101.9800033569336,94.36000061035156,101.41000366210938,-0.86,0.69
2020-10-30,72.98999786376953,101.05000305175781,93.62000274658203,101.34500122070312,-0.82,0.74
2020-11-02,74.44999694824219,102.31999969482422,95.33999633789062,101.20999908447266,-0.84,0.71
2020-11-03,75.9000015258789,104.23999786376953,97.43000030517578,101.31500244140625,-0.82,0.73
2020-11-04,75.98999786376953,106.7699966430664,97.98999786376953,101.58200073242188,-0.86,0.64
2020-11-05,77.8499984741211,108.61000061035156,100.16999816894531,101.93000030517578,-0.87,0.65
2020-11-06,77.30999755859375,108.41999816894531,99.95999908447266,101.81999969482422,-0.82,0.67
2020-11-09,80.12000274658203,110.97000122070312,102.72000122070312,101.73400115966797,-0.77,0.79
2020-11-10,81.20999908447266,110.77999877929688,103.0,101.44499969482422,-0.78,0.79
2020-11-12,79.69999694824219,109.80000305175781,101.93000030517578,101.55500030517578,-0.83,0.71
2020-11-13,81.69000244140625,111.54000091552734,103.94000244140625,101.73999786376953,-0.83,0.72
2020-11-16,83.55000305175781,112.93000030517578,105.81999969482422,101.72000122070312,-0.81,0.72
2020-11-17,83.13999938964844,112.47000122070312,105.70999908447266,101.80000305175781,-0.83,0.69
2020-11-18,82.62999725341797,111.13999938964844,104.56999969482422,101.8499984741211,-0.82,0.72
2020-11-19,82.88999938964844,111.29000091552734,105.26000213623047,101.95999908447266,-0.84,0.68
2020-11-20,82.48999786376953,110.45999908447266,104.86000061035156,101.77999877929688,-0.86,0.67
2020-11-23,84.47000122070312,111.2300033569336,106.18000030517578,101.98999786376953,-0.85,0.7
2020-11-24,86.51000213623047,113.0199966430664,108.06999969482422,101.98999786376953,-0.86,0.72
2020-11-25,85.7699966430664,112.62000274658203,107.68000030517578,101.99500274658203,-0.87,0.71
2020-11-27,85.81999969482422,112.87999725341797,107.77999877929688,102.03500366210938,-0.91,0.68
2020-11-30,84.9800033569336,112.45999908447266,107.0199966430664,102.18000030517578,-0.93,0.68
2020-12-01,85.94000244140625,114.01000213623047,107.80000305175781,101.95500183105469,-0.89,0.75
2020-12-02,86.61000061035156,113.77999877929688,107.79000091552734,101.88999938964844,-0.9,0.79
2020-12-03,87.18000030517578,113.9000015258789,108.31999969482422,101.94000244140625,-0.94,0.76
2020-12-04,88.80999755859375,114.83999633789062,109.91999816894531,102.12999725341797,-0.92,0.81
2020-12-07,88.12000274658203,114.68000030517578,109.4800033569336,101.9749984741211,-0.94,0.8
2020-12-08,88.79000091552734,115.12999725341797,110.01000213623047,101.97000122070312,-0.97,0.78
2020-12-09,88.69000244140625,114.27999877929688,109.2699966430664,101.89600372314453,-0.96,0.79
2020-12-10,88.05999755859375,113.91999816894531,109.52999877929688,101.9000015258789,-0.96,0.78
2020-12-11,87.51000213623047,113.94000244140625,109.18000030517578,101.91999816894531,-0.97,0.79
