Date,DEFAULT,QUALITY,MOMENTUM,BOOK_TO_PRICE,SIZE,CASH_TO_ASSETS
5/2/11,-0.0042,0.0101,-0.0066,0.002,-0.0087,0.0002
5/3/11,-0.0078,0.0097,-0.0131,0.0063,-0.0039,-0.0014
5/4/11,-0.0009,0.0094,-0.0085,0.004,-0.0038,0.0057
5/5/11,0.0034,0.0029,-0.0029,0,0.0004,0.0057
5/6/11,0.0037,-0.0015,0.0055,-0.0054,-0.0016,0.0043
5/9/11,-0.0007,-0.0046,0.0119,-0.0044,0.0021,-0.0018
5/10/11,-0.0001,-0.0008,0.0006,-0.0021,0.0034,-0.0005
5/11/11,-0.0045,0.0171,-0.011,-0.0002,-0.0043,0.0049
5/12/11,-0.0074,0.0098,-0.0023,-0.0046,0.0005,0.0074
5/13/11,-0.0019,0.0072,-0.0008,0.0019,-0.0029,-0.0038
5/16/11,-0.0036,0.0012,-0.0071,0.004,-0.0088,-0.01
5/17/11,-0.0023,0.0008,-0.0041,0.0016,-0.0037,-0.0056
5/18/11,0.0039,-0.0066,0.0116,-0.0039,-1.00E-04,0.0055
5/19/11,0.0019,-0.0014,0.0029,-0.0021,-0.0032,-0.0011
5/20/11,-0.0021,-0.0008,0.003,0.0006,0.0025,-0.0015
5/23/11,-0.0013,0.007,-0.0058,0.0031,-0.0003,-0.0021
5/24/11,0.0017,-0.0041,0.0034,0.0015,-0.0014,-0.0078
5/25/11,0.0038,-0.0109,0.0119,-0.0037,0.005,-0.0023
5/26/11,0.0008,-0.0066,0.0051,-0.0045,0.0052,0.0037
5/27/11,0.005,-0.0035,0.0012,-0.0018,0.001,0.0011
5/31/11,-0.0017,0.0004,0.0026,-0.0014,0.0015,-0.0004
6/2/11,0.0015,-0.0031,0.0007,-0.0027,-0.0001,0.0072
6/3/11,-0.0011,0.0023,-0.0015,0.0075,0.001,-0.0069
6/6/11,-0.0133,0.0171,-0.0068,0.0044,-0.003,-0.0001
6/7/11,0.0002,0.0039,0.0052,-0.0018,-0.0005,-0.0062
6/8/11,-0.0088,0.0094,-0.0026,0.0028,-0.0053,-0.0109
